No,Kabupaten/Kota,Kecamatan
1,Nias,"Bawolato
Botomuzoi
Gido
Hiliduho
Hiliserangkai
Idanogawo
Ma'u
Sogae'adu
Somolo-molo
Ulugawo"
2,Mandailing Natal,"Batahan
Batang Natal
Bukit Malintang
Huta Bargot
Kotanopan
Lembah Sorik Marapi
Lingga Bayu
Muara Batang Gadis
Muara Sipongi
Naga Juang
Natal
Pakantan
Panyabungan Barat
Panyabungan Kota
Panyabungan Selatan
Panyabungan Timur
Panyabungan Utara
Puncak Sorik Marapi
Ranto Baek
Siabu
Sinunukan
Tambangan
Ulu Pungkut"
3,Tapanuli Selatan,"Aek Bilah
Angkola Barat
Angkola Muara Tais
Angkola Sangkunur
Angkola Selatan
Angkola Timur
Arse
Batang Angkola
Batang Toru
Marancar
Muara Batang Toru
Saipar Dolok Hole
Sayur Matinggi
Sipirok
Tano Tombangan Angkola"
4,Tapanuli Tengah,"Andam Dewi
Badiri
Barus
Barus Utara
Kolang
Lumut
Manduamas
Pandan
Pasaribu Tobing
Pinangsori
Sarudik
Sibabangun
Sirandorung
Sitahuis
Sosor Gadong
Sorkam
Sorkam Barat
Sukabangun
Tapian Nauli
Tukka"
5,Tapanuli Utara,"Adian Koting
Garoga
Muara
Pagaran
Pahae Jae
Pahae Julu
Pangaribuan
Parmonangan
Purba Tua
Siatas Barita
Siborongborong
Simangumban
Sipahutar
Sipoholon
Tarutung"
6,Toba Samosir,"Ajibata
Balige
Bonatua Lunasi
Borbor
Habinsaran
Laguboti
Lumban Julu
Nassau
Parmaksian
Pintu Pohan Meranti
Porsea
Siantar Narumonda
Sigumpar
Silaen
Tampahan
Uluan"
7,Labuhan Batu,"Bilah Barat
Bilah Hilir
Bilah Hulu
Pangkatan
Panai Hilir
Panai Hulu
Panai Tengah
Rantau Utara
Rantau Selatan"
8,Asahan,"Bandar Pasir Mandoge
Bandar Pulau
Aek Songsongan
Rahuning
Pulau Rakyat
Aek Kuasan
Aek Ledong
Sei Kepayang
Sei Kepayang Barat
Sei Kepayang Timur
Tanjung Balai
Simpang Empat
Teluk Dalam
Air Batu
Sei Dadap
Buntu Pane
Tinggi Raja
Setia Janji
Meranti
Pulo Bandring
Rawang Panca Arga
Air Joman
Silau Laut
Kota Kisaran Barat
Kota Kisaran Timur"
9,Simalungun,"Bandar
Bandar Huluan
Bandar Masilam
Bosar Maligas
Dolog Masagal
Dolok Batu Nanggar
Dolok Panribuan
Dolok Pardamean
Dolok Silau
Girsang Sipangan Bolon
Gunung Malela
Gunung Maligas
Haranggaol Horison
Hatonduhan
Huta Bayu Raja
Jawa Maraja Bah Jambi
Jorlang Hataran
Panei
Pamatang Silima Huta
Panombeian Panei
Pematang Bandar
Pematang Sidamanik
Purba
Raya
Raya Kahean
Siantar
Sidamanik
Silimakuta
Silau Kahean
Tanah Jawa
Tapian Dolok
Ujung Padang"
10,Dairi,"Berampu
Gunung Sitember
Lae Parira
Parbuluan
Pegagan Hilir
Sidikalang
Siempat Nempu
Siempat Nempu Hilir
Siempat Nempu Hulu
Silahisabungan
Silima Pungga-Pungga
Sitinjo
Sumbul
Tanah Pinem
Tigalingga"
